,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_charts
90,Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,97
91,What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,76
92,Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,89
93,Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,45
94,Still With You,Jung Kook,1,2020,6,5,31,39,38411956,107
95,All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,145
96,Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,105
97,Snooze,SZA,1,2022,12,9,2839,25,399686758,156
98,Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,143
99,Take Two,BTS,1,2023,6,9,674,47,118482347,106
100,Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,110
101,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165,119
102,Chemical,Post Malone,1,2023,4,14,2528,39,172825906,91
103,Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043,98
104,New Jeans,NewJeans,1,2023,7,7,77,35,29562220,166
105,Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611,40
106,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506,135
107,Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633,100
108,Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900,108
109,Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694,112
110,Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526,113
111,Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294,6
112,LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,39058561,106
113,Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,52
114,Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614,32
115,No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570,65
116,Tattoo,Loreen,1,2023,2,25,2988,59,201660859,102
117,Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961,23
118,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753,58
119,august,Taylor Swift,1,2020,7,24,7324,22,607123776,81
120,LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345,117
121,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784,115
122,Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938,12
123,Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762,110
125,Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,601863821,69
126,Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826,44
128,lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893,96
129,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503,59
130,Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,126
131,OMG,NewJeans,1,2023,1,2,1783,27,430977451,124
132,Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874,122
133,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598,108
136,Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178,90
137,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632,88
138,Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074,0
139,Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126,55
140,Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133,121
141,Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253,9
142,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641,2
143,Without Me,Eminem,1,2002,1,1,21081,43,1687664027,76
145,Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552,8
146,Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,1133865788,113
147,Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494,69
148,Those Eyes,New West,1,2019,5,10,1507,14,411747614,71
149,El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395,71
150,Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544,76
153,Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632,88
154,Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984,0
155,Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275,14
157,Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183,97
160,PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885,143
162,One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,107
163,Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989,101
165,Sure Thing,Miguel,1,2010,5,25,13801,19,950906471,125
166,Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,19,1593270737,74
167,The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830,82
168,We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,91
170,Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173,0
171,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466,60
172,Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445,92
173,Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617,82
174,ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775,102
175,Reminder,The Weeknd,1,2016,11,25,6518,17,684675814,85
176,Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873,70
177,Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350,70
179,Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890,0
182,Creep,Radiohead,1,1992,9,21,36724,7,1271293243,72
183,Car's Outside,James Arthur,1,2019,10,18,794,10,265882712,25
184,Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534,96
185,Cheques,Shubh,1,2023,5,19,67,8,47956378,10
186,Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070,68
188,Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668,0
189,Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446,99
190,Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268,129
191,You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9,2619,12,350381515,90
192,Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,9037,42,1264310836,133
193,Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,33
194,Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812,50
196,Es un Secreto,Plan B,1,2010,7,20,492,36,540654286,3
197,POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735,46
198,Ditto,NewJeans,1,2022,12,19,1154,22,397582059,125
199,Take On Me,a-ha,1,1984,10,19,44927,17,1479115056,0
200,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632,46
201,"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727,18
202,Acrï¿½ï¿½s,Shakira,1,2023,5,11,955,29,123124076,50
203,AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463564958,117
204,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040,71
205,S-Class,Stray Kids,1,2023,6,2,290,19,65496046,101
206,Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963,15
207,Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990,92
208,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975,41
209,Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496,34
210,Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13,262,5,89933133,60
211,Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139,79
212,Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,3,43522589,6
213,FLOWER,JISOO,1,2023,3,31,839,18,232896922,110
214,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37126685,17
215,Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,69
216,Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353,84
217,La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192,77
218,Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772,21
219,Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314,69
220,Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613,78
221,CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710,65
222,Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651,72
223,Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538,0
224,Players,Coi Leray,1,2022,11,30,4096,6,335074782,48
225,Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396,96
226,Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667,82
227,Normal,Feid,1,2022,7,8,2461,36,459276435,66
228,Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245,20
229,Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666,29
230,Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917,72
231,CUFF IT,Beyoncï¿,1,2022,7,29,7842,10,595900742,88
232,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779,14
233,69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987,14
234,Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040,26
235,Search & Rescue,Drake,1,2023,4,7,2066,6,175097833,70
236,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,57089066,2
237,Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797,43
238,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689,10
239,Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053,65
240,Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328,57
241,Cupido,Tini,1,2023,2,14,1240,24,217672943,29
242,Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829,27
244,Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358,100
245,Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020,84
246,Easy On Me,Adele,1,2021,10,14,10195,20,1406111294,87
247,Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339,2
248,Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653,3
249,Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2,145458418,57
250,The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568,53
251,MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117,22
252,The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686,79
253,Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741,42
254,Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624,13
255,Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489,3
256,UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115,110
257,Haegeum,Agust D,1,2023,4,21,244,12,118810253,84
258,Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4,77233241,7
260,Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907,5
261,X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541,80
262,ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992,55
263,Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964,93
264,I AM,IVE,1,2023,4,10,366,15,123132751,102
265,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1,472,2,103762518,0
266,Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075,14
267,Super,SEVENTEEN,1,2023,4,24,271,12,91221625,103
268,Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915,4
269,Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277,65
270,All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616,6
271,PROVENZA,Karol G,1,2022,4,21,6587,34,885093467,104
272,Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946,0
273,Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338,64
275,Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978,84
276,Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644,90
277,Komang,Raim Laode,1,2022,8,16,158,4,137123880,6
278,DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,33,782369383,90
279,Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952,23
280,Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255,0
282,Punto G,Quevedo,1,2022,11,4,1985,35,381161027,26
283,Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982,1
284,METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552,78
285,Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704,13
286,En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403,31
288,I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769,70
289,Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215,9
291,Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600,55
292,Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467,107
293,Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354,72
294,Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4,90025258,77
295,Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649,35
296,Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958,54
297,Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831,51
298,Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671,41
299,People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024,45
300,REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995,8
301,"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613,3
302,DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350,0
303,10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,325592432,104
304,SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276,1
305,HAPPY,NF,1,2023,3,25,660,0,52722996,7
306,La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597,11
307,I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503,15
308,Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613,42
309,Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,4,267789608,84
311,Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773,84
312,VOID,Melanie Martinez,1,2023,3,29,596,0,67070410,9
313,Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601,48
315,If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767,27
316,You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306,88
317,LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549,57
318,Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700,2
319,Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705,68
321,CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144,66
322,I Love You So,The Walters,1,2014,11,28,7536,7,972164968,19
323,Dark Red,Steve Lacy,1,2017,2,20,10431,7,920045682,53
324,Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,2420461338,37
326,Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,244658767,27
327,Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992,0
328,Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16,223582566,8
329,LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,471819764,64
331,Numb,Linkin Park,1,2003,3,24,20111,5,1361425037,0
333,on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790,82
334,One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433,58
335,Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336,16
336,Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3,356,4,88791109,20
337,Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3,604,6,125917280,101
338,Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,105062254,3
339,Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148,54
340,Heaven,Niall Horan,1,2023,2,17,1553,2,144584800,6
341,LET GO,Central Cee,1,2022,12,15,2301,20,298063749,23
342,Sial,Mahalini,1,2023,1,23,134,4,166570053,6
343,I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468,17
344,"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,139836056,101
345,SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,629,14,303216294,3
346,PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,15,1701,15,221409663,15
347,Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,0,58890931,35
348,Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389,11
349,Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,6,156777415,10
350,Nobody Gets Me,SZA,1,2022,12,9,2536,6,284908316,100
351,PERO Tï¿,"Karol G, Quevedo",2,2023,2,23,387,11,93438910,15
352,Hype Boy,NewJeans,1,2022,8,1,892,17,363472647,119
353,Bloody Mary,Lady Gaga,1,2011,1,1,3909,0,372476382,26
355,ýýý98 Braves,Morgan Wallen,1,2023,3,3,282,0,56533272,15
356,WANDA,Quevedo,1,2023,1,20,888,22,175399345,24
357,Thought You Should Know,Morgan Wallen,1,2022,5,6,968,4,203221468,53
358,In The End,Linkin Park,1,2000,10,24,25065,6,1624165576,0
359,Zona De Perigo,Leo Santana,1,2022,12,8,531,4,134294498,1
360,Lovezinho,Treyce,1,2022,7,28,242,0,70069745,2
361,I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3,5281,14,609293408,21
362,Neverita,Bad Bunny,1,2022,5,6,2590,30,671365962,64
364,Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,4,93587665,1
365,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3,6180,7,1223481149,88
366,Revenge,XXXTENTACION,1,2017,8,25,3600,11,1022258230,0
367,Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,1254,6,263453310,69
368,LA CANCIï¿½,"J Balvin, Bad Bunny",2,2019,6,28,6398,31,1435127549,109
369,Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2,2022,10,20,660,15,236857112,59
370,Love Again,The Kid Laroi,1,2023,1,27,1283,0,147538971,4
371,After Hours,The Weeknd,1,2020,2,19,8084,6,698086140,115
372,About Damn Time,Lizzo,1,2022,7,15,2332,2,723894473,0
374,ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,1,2020,5,20,685,14,403097450,94
375,Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,29,2460,13,309483971,7
376,Maan Meri Jaan,King,1,2022,10,12,288,6,319566866,80
377,Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,909001996,113
378,My Universe,"Coldplay, BTS",2,2021,9,24,6127,13,1061966512,0
380,LLYLM,ROSALï¿½,1,2023,1,27,1838,0,124988687,41
382,TRUSTFALL,P!nk,1,2023,1,27,2098,16,134255790,24
383,ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,12,301051721,95
384,Boy's a liar,PinkPantheress,1,2022,11,30,1225,0,156338624,0
386,Shirt,SZA,1,2022,10,28,3469,0,309653982,95
387,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,3311,0,297328960,31
388,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,2616,0,332506354,17
389,"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,3006,16,480507035,60
390,Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,12,4260,0,1065580332,92
391,"Hey, Mickey!",Baby Tate,1,2016,9,27,482,0,122763672,1
393,Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,4,1365184,78
394,Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,1368,0,184308753,1
397,Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21,4796,9,606361689,66
398,Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",3,2023,1,12,658,6,120972253,7
399,TV,Billie Eilish,1,2022,7,21,3009,2,338564981,89
400,I'm Not The Only One,Sam Smith,1,2014,1,1,17492,3,1606986953,24
401,Heather,Conan Gray,1,2020,3,20,6170,7,1301799902,1
402,"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,130,4,140187018,79
404,Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,0,107642809,56
406,WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,5491,14,556585270,84
407,Don't Start Now,Dua Lipa,1,2019,10,31,27119,0,2303033973,77
408,After Dark,Mr.Kitty,1,2014,8,8,1776,14,646886885,9
411,MIDDLE OF THE NIGHT,Elley Duhï¿,1,2020,1,10,4057,8,872137015,21
412,Atlantis,Seafret,1,2015,4,22,3045,6,571386359,53
414,Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,852,0,174006928,1
415,How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,15,284785823,97
416,Blind,SZA,1,2022,12,9,1484,0,163284000,51
417,Die For You,Joji,1,2022,11,4,1703,0,246390068,45
418,Doja,Central Cee,1,2022,7,20,4169,44,482257456,44
419,Gatita,Bellakath,1,2022,10,3,1054,0,168684524,0
420,Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,2849,0,78489819,45
421,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,1602,0,195516622,22
422,Yonaguni,Bad Bunny,1,2021,6,4,9644,28,1260594497,86
423,Super Freaky Girl,Nicki Minaj,1,2022,8,12,4827,0,428685680,17
424,Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16,21811,0,1024858327,1
425,Dream On,Aerosmith,1,1973,1,5,168,0,838586769,0
426,Limbo,Freddie Dredd,1,2022,8,11,688,0,199386237,1
427,Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30,10565,44,972509632,122
428,WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28,1612,0,213438580,54
430,KICK BACK,Kenshi Yonezu,1,2022,10,12,574,4,210038833,101
431,Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,4,8,2499,0,227918678,0
432,Good Days,SZA,1,2020,12,24,10426,2,826623384,109
433,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,15894,8,1802514301,13
435,Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,713,7,181831132,4
436,Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,7758,28,462791599,79
437,"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,2,348647203,18
439,Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",3,1930,1,1,323,0,90598517,0
445,It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,1,2011,10,14,12353,0,807561936,0
447,It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,8879,0,663832097,107
448,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,16,6512,0,446390129,1
450,Underneath the Tree,Kelly Clarkson,1,2013,10,25,6596,0,485285717,99
451,Feliz Navidad,Josï¿½ï¿½ Felic,1,1970,11,1,3788,0,520034544,3
452,Holly Jolly Christmas,Michael Bublï¿,1,2011,10,14,7655,0,476244795,0
